hw1,hw2,tw,bf1,tf1,bf2,tf2,psi,L,y,y_norm
800,400,32.0,600,36.95,200,32.0,-0.25,3200,129970.6568,5.0324778092
300,75,5.4,75,5.4,75,5.4,-1.0,6000,16.26222894,2.6958577644
300,300,2.57,225,9.71,225,10.54,-0.25,12000,160.6333742,2.2111978231
800,200,6.86,600,32.53,600,32.53,1.0,22400,2781.765454,1.0586828415
600,400,5.14,300,18.47,300,18.47,0.0,15600,640.087308,1.9771577043
600,400,2.0,600,23.68,150,9.79,0.5,10800,5041.73226,6.037911827
800,800,2.67,600,19.26,600,45.79,0.25,32000,2844.566253,1.5153298893
400,200,1.67,300,6.32,300,6.32,0.0,5600,594.7576058,1.976698549
1000,400,5.62,750,43.42,750,35.13,0.25,32000,7405.990695,1.7675001855
600,171,2.51,150,9.79,450,14.45,0.25,21600,115.6193315,1.206909608
300,150,12.0,75,12.0,300,12.0,1.0,1200,408.8754768,0.1726473752
800,800,32.0,600,32.0,200,32.0,-0.75,6400,12880.85526,1.46871472
125,500,2.09,125,2.17,375,9.28,0.25,9000,73.30990388,1.0730557177
400,160,1.33,400,27.58,100,6.89,-0.25,12000,2491.569842,10.9346662119
500,125,3.4,125,4.01,125,4.01,-0.25,5000,52.75510287,2.7188987473
400,1000,8.57,250,8.57,750,54.47,-0.75,14000,12011.65881,3.4385405557
400,800,14.4,800,16.84,200,14.4,-1.0,22400,853.0231983,1.3927111854
900,300,4.32,675,46.54,675,46.54,0.25,34200,6781.830529,1.6579800648
286,1000,4.19,750,26.84,250,15.39,-0.75,26000,1837.43689,2.5089663937
1000,400,11.61,500,17.89,500,17.89,-0.25,16000,3409.438477,2.5964647689
600,600,24.0,300,24.0,150,24.0,-1.0,24000,706.1053696,2.6884436928
800,800,9.29,200,16.0,600,43.58,0.5,11200,2438.627943,0.8777062044
900,600,36.0,675,36.0,225,36.0,0.25,12600,17202.07821,3.5818909763
333,500,2.81,125,4.47,125,2.81,-0.75,1000,1304.467718,2.5210643238
600,240,24.0,300,24.0,150,24.0,1.0,18000,428.3850849,1.3421011754
400,400,7.2,200,15.26,200,7.2,0.5,7200,282.3895801,1.7314778843
600,600,4.08,600,45.79,600,41.37,0.5,16800,9150.33918,1.3914242529
900,600,16.2,225,16.2,225,16.2,1.0,12600,289.3998828,1.0222990183
700,700,3.36,525,5.25,525,42.0,-0.25,21000,2426.011195,1.7538700806
500,250,3.4,125,3.4,250,13.55,-1.0,19000,62.98448469,2.9739437209
333,1000,40.0,750,40.0,250,40.0,-0.5,36000,6795.764915,3.3377343203
86,300,3.48,75,3.48,300,8.53,0.25,1200,277.9094164,0.2904582707
600,200,2.23,150,7.03,600,30.32,0.5,19200,919.0115786,2.3320060051
600,171,3.38,150,7.58,150,9.79,-0.75,4800,303.8083522,3.0460182075
900,900,7.71,225,12.2,900,65.37,1.0,18000,6906.852103,1.3943311185
400,100,16.0,300,19.58,200,16.0,-0.25,12800,840.9562033,3.2380489332
200,700,2.33,350,22.84,175,10.13,-1.0,28000,314.0100103,3.3132667729
400,267,16.0,100,16.0,200,16.0,0.5,10400,139.341404,1.2043231175
250,1000,6.79,1000,68.95,1000,50.53,1.0,8000,134433.2671,1.0707746618
267,400,16.0,300,16.0,100,16.0,1.0,1600,8405.928332,2.5831469103
250,500,4.29,250,14.47,375,14.8,0.75,3000,2161.05856,0.6225366941
500,125,4.29,500,38.16,500,19.74,0.0,11000,8300.717549,2.6726678444
240,600,2.51,450,14.45,600,25.89,-0.25,9600,4165.189345,1.4474552261
800,533,2.97,200,5.68,800,25.68,-1.0,20800,1026.139415,1.5376996549
900,225,6.11,225,11.37,900,28.89,0.25,5400,3706.530666,0.2900346868
