hw1;hw2;tw;bf1;tf1;bf2;tf2;psi;L;y
400;200;1.92;100;5.79;100;6.53;0.25;4000;38.34504188
400;133;1.33;300;16.26;100;1.74;-0.5;13600;518.4337424
300;100;1.44;225;13.03;150;8.13;0.5;9600;139.7416991
100;400;1.92;200;5.68;200;4.21;0.75;7200;47.50374054
500;333;9;500;17.89;125;9;0.75;16000;809.5909033
800;267;14.4;200;14.4;600;14.4;0.5;3200;2228.622422
250;500;20;500;20;125;20;-1;20000;811.2903395
700;350;8.13;525;36.2;700;9.58;0;11200;10009.83121
900;300;3.77;900;28.89;900;48.79;0.75;34200;6344.548291
1000;1000;4.8;1000;68.95;1000;80;0.5;22000;56976.39621
333;1000;5.62;250;5.62;1000;68.95;0.5;40000;9172.619661
800;200;3.35;400;27.58;400;12.84;1;30400;427.6438242
400;133;1.92;200;16;400;18.74;1;16000;235.6665194
1000;667;8.57;750;40.66;750;57.24;-0.75;16000;46270.95451
350;700;8.13;700;40.53;350;26.71;0.75;5600;41692.07313
300;900;3.77;675;24.16;450;12.79;1;9000;8613.849015
